Date,Q-P1,S-P2,Q-P2,Volume,Currency,TP,
20/04/2018,40150,40000,80150,4164231,VND,Ha Long,
23/04/2018,42300,41300,83600,1940924,VND,Mong Cai,
24/04/2018,41850,41300,83150,2291985,VND,Cam Pha,
26/04/2018,41900,41400,83300,1306023,VND,Uong Bi,
27/04/2018,41800,40800,82600,1656048,VND,Bac Kan,
2/5/2018,41000,40800,81800,990949,VND,Pho Yen,
3/5/2018,42000,40000,82000,861454,VND,Thai Nguyen,
4/5/2018,14410,13960,28370,565484,VND,Song Cong,
7/5/2018,14149,13818,27967,570133,VND,Bac Ninh,
8/5/2018,14670,14102,28772,1175366,VND,Tu Son,
9/5/2018,14244,14007,28251,779611,VND,Hai Duong,
10/5/2018,14197,13724,27921,390915,VND,Chi Linh,
11/5/2018,13960,13534,27494,1532914,VND,Hung Yen,
14/05/2018,14102,13629,27731,534463,VND,Viet Tri,
15/05/2018,13960,13629,27589,990337,VND,Phu Tho,
16/05/2018,14102,13818,27920,1110132,VND,Yen Bai,
17/05/2018,14007,13865,27872,815070,VND,Lao Cai,
18/05/2018,13913,13795,27708,984631,VND,Lai Chau,
21/05/2018,14078,13936,28014,717421,VND,Son La,
22/05/2018,13984,13534,27518,876120,VND,Dien Bien Phu,
23/05/2018,13865,13676,27541,1069432,VND,Hoa Binh,
24/05/2018,13889,13771,27660,775300,VND,Ha Noi,
25/05/2018,13865,13700,27565,650835,VND,Ha Giang,
28/05/2018,13629,12824,26453,416379,VND,Cao Bang,
29/05/2018,13014,13014,26028,1247636,VND,Tuyen Quang,
30/05/2018,13605,13440,27045,362366,VND,Lang Son,
31/05/2018,13534,13250,26784,607219,VND,Quang Ninh,
1/6/2018,13534,13250,26784,212479,VND,Bac Giang,
4/6/2018,13298,13227,26525,819276,VND,Hai Phong,
5/6/2018,14007,13676,27683,970367,VND,Nam Dinh,
6/6/2018,13818,13629,27447,1791777,VND,Thai Binh,
7/6/2018,13724,13582,27306,1427593,VND,Ninh Binh,
8/6/2018,13676,13487,27163,2456601,VND,Thanh Hoa,
11/6/2018,13676,13345,27021,81801,VND,Sam Son,
12/6/2018,13487,13156,26643,89133,VND,Nghe An,
13/06/2018,13345,13250,26595,234963,VND,Vinh,
14/06/2018,13345,13132,26477,48582,VND,Ha Tinh,
15/06/2018,13321,13132,26453,55492,VND,Quang Binh,
18/06/2018,13156,12777,25933,94015,VND,Dong Hoi,
19/06/2018,12588,11902,24490,1371151,VND,Quang Tri,
20/06/2018,12824,12824,25648,1370876,VND,Dong Ha,
21/06/2018,13061,12777,25838,92261,VND,Hue,
22/06/2018,12919,12919,25838,243691,VND,Quang Nam,
25/06/2018,13037,13014,26051,433178,VND,Tam Ky,
26/06/2018,12398,12398,24796,214360,VND,Hoi An,
27/06/2018,13108,12777,25885,89514,VND,Quang Ngai,
28/06/2018,13085,12777,25862,93761,VND,Quang Ngai,
29/06/2018,13014,12730,25744,495728,VND,Binh Dinh,
2/7/2018,13014,12753,25767,156290,VND,Quy Nhon,
3/7/2018,12777,12280,25057,385083,VND,Phu Yen,
4/7/2018,12351,11736,24087,599781,VND,Tuy Hoa,
5/7/2018,12257,11973,24230,1646518,VND,Khanh Hoa,
6/7/2018,11973,11973,23946,727184,VND,Nha Trang,
9/7/2018,12777,11760,24537,478654,VND,Cam Ranh,
10/7/2018,12777,12730,25507,589025,VND,Dak Lak,
11/7/2018,12872,12588,25460,174189,VND,Buon Ma Thuot,
12/7/2018,12635,12564,25199,293540,VND,Dak Nong,
13/07/2018,12848,12730,25578,641875,VND,Gia Lai,
16/07/2018,12777,12540,25317,457374,VND,Pleiku,
17/07/2018,12777,12682,25459,333416,VND,Kon Tum,
18/07/2018,12706,12611,25317,523601,VND,Kon Tum,
19/07/2018,12753,12635,25388,116541,VND,Gia Lai,
20/07/2018,12777,12682,25459,54076,VND,An Giang,
23/07/2018,12753,12635,25388,138941,VND,Long Xuyen,
24/07/2018,12777,11831,24608,166264,VND,Can Tho,
25/07/2018,12588,11831,24419,209014,VND,Rach Gia,
26/07/2018,12493,12469,24962,155783,VND,Kien Giang,
27/07/2018,12540,12469,25009,220256,VND,Ha Tien,
30/07/2018,12257,11878,24135,459973,VND,Ca Mau,
31/07/2018,11854,11854,23708,278241,VND,Ca Mau,
1/8/2018,11996,11831,23827,284348,VND,Bac Lieu,
2/8/2018,11807,11357,23164,397318,VND,Soc Trang,
3/8/2018,11357,11357,22714,423310,VND,Soc Trang,
6/8/2018,11665,11263,22928,636761,VND,Vinh Long,
7/8/2018,11334,11334,22668,202780,VND,Vinh Long,
8/8/2018,11381,11381,22762,475843,VND,Tra Vinh,
9/8/2018,11594,11594,23188,974615,VND,Ben Tre,
10/8/2018,12044,11878,23922,701804,VND,Ben Tre,
13/08/2018,12115,11996,24111,711821,VND,Tien Giang,
14/08/2018,12446,12304,24750,660746,VND,My Tho,
15/08/2018,12304,12162,24466,612079,VND,Long An,
16/08/2018,12115,12115,24230,496595,VND,Tan An,
17/08/2018,12446,12328,24774,554538,VND,Dong Nai,
20/08/2018,12304,12304,24608,602655,VND,Bien Hoa,
21/08/2018,12304,12304,24608,659330,VND,Binh Duong,
22/08/2018,12422,12351,24773,920539,VND,Thu Dau Mot,
23/08/2018,12398,12398,24796,793960,VND,Di An,
24/08/2018,12564,12493,25057,673573,VND,Tay Ninh,
27/08/2018,12588,12588,25176,555510,VND,Tay Ninh,
28/08/2018,12588,12588,25176,777181,VND,Binh Phuoc,
29/08/2018,12730,12682,25412,746561,VND,Dong Xoai,
30/08/2018,12777,12682,25459,815979,VND,Phu Quoc,
31/08/2018,12801,12730,25531,728494,VND,Vung Tau,
4/9/2018,12706,12659,25365,581016,VND,Ba Ria - Vung Tau,
5/9/2018,12659,12540,25199,607261,VND,Ho Chi Minh,
6/9/2018,12493,11665,24158,664592,VND,Thu Duc,
7/9/2018,12186,12162,24348,706284,VND,Ha Long,
10/9/2018,12517,12422,24939,623469,VND,Mong Cai,
11/9/2018,12469,12351,24820,646630,VND,Cam Pha,
12/9/2018,12351,12304,24655,657851,VND,Uong Bi,
13/09/2018,12375,12351,24726,579684,VND,Bac Kan,
14/09/2018,12398,12375,24773,625984,VND,Pho Yen,
17/09/2018,12398,12304,24702,627210,VND,Thai Nguyen,
18/09/2018,12351,12091,24442,721246,VND,Song Cong,
19/09/2018,12375,12304,24679,852410,VND,Bac Ninh,
20/09/2018,12422,12398,24820,954413,VND,Tu Son,
21/09/2018,12422,12398,24820,969923,VND,Hai Duong,
24/09/2018,12446,12398,24844,379948,VND,Chi Linh,
25/09/2018,12422,12233,24655,745103,VND,Hung Yen,
26/09/2018,12304,12209,24513,593314,VND,Viet Tri,
27/09/2018,12304,12280,24584,502068,VND,Phu Tho,
28/09/2018,12304,12257,24561,796855,VND,Yen Bai,
1/10/2018,12398,12375,24773,707890,VND,Lao Cai,
2/10/2018,12398,12280,24678,977784,VND,Lai Chau,
3/10/2018,12398,12375,24773,1042151,VND,Son La,
4/10/2018,12446,12446,24892,1940650,VND,Dien Bien Phu,
5/10/2018,12824,12706,25530,1461151,VND,Hoa Binh,
